Tanggal,Kode_Transaksi,Pelanggan,sub_total,lokasi_apotek
11/26/2024,TRX000033,Intan Hutagalung,358123,Semarang
12/24/2023,TRX000034,"Puti Unjani Natsir, S.Pt",540487,Semarang
12/6/2023,TRX000035,Dagel Winarno,99683,Jakarta
2/5/2024,TRX000036,Guest,77019,Yogyakarta
8/26/2024,TRX000037,Ajiman Prastuti,238392,Surabaya
3/3/2024,TRX000038,Guest,696824,Surabaya
10/10/2023,TRX000039,dr. Silvia Sihotang,85752,Jakarta
11/13/2023,TRX000040,"Mitra Pudjiastuti, S.IP",348303,Yogyakarta
7/15/2023,TRX000041,Malik Putra,785091,Surabaya
2/12/2023,TRX000042,Guest,1263282,Yogyakarta
8/16/2024,TRX000043,Guest,290748,Semarang
6/16/2024,TRX000044,Uli Hardiansyah,586455,Semarang
12/19/2024,TRX000045,Guest,1077957,Jakarta
12/18/2023,TRX000046,Guest,501162,Bandung
9/19/2024,TRX000047,R.A. Puti Wijaya,351081,Yogyakarta
5/6/2023,TRX000048,Cemani Safitri,1010586,Semarang
3/19/2024,TRX000049,"Drs. Budi Kusumo, M.TI.",892482,Jakarta
4/10/2024,TRX000050,Guest,412164,Surabaya
8/3/2024,TRX000051,"KH. Jaka Prayoga, M.Ak",621326,Bandung
12/22/2023,TRX000052,Guest,436979,Yogyakarta
10/23/2023,TRX000053,Guest,1037580,Bandung
4/23/2023,TRX000054,Tri Habibi,674894,Surabaya
1/9/2023,TRX000055,Guest,788085,Jakarta
5/25/2024,TRX000056,"drg. Tiara Wahyudin, S.Psi",290363,Bandung
12/2/2024,TRX000057,Guest,277179,Surabaya
5/31/2023,TRX000058,"R.A. Fitria Salahudin, S.Sos",943596,Jakarta
4/22/2024,TRX000059,Guest,888604,Semarang
11/28/2024,TRX000060,Salman Budiman,519938,Surabaya
6/3/2023,TRX000061,Guest,580817,Bandung
6/19/2024,TRX000062,Adhiarja Marpaung,275421,Yogyakarta
10/24/2023,TRX000063,Guest,700009,Surabaya
9/30/2024,TRX000064,Kala Wibisono,739114,Semarang
7/25/2024,TRX000065,Guest,848967,Bandung
11/11/2024,TRX000066,Guest,336351,Yogyakarta
6/16/2023,TRX000067,Eko Marbun,288105,Bandung
11/7/2023,TRX000068,Guest,367616,Semarang
5/13/2024,TRX000069,Bakiadi Hutagalung,910654,Semarang
10/23/2023,TRX000070,"Titi Purnawati, M.Farm",1417282,Surabaya
3/8/2023,TRX000071,Guest,1205888,Yogyakarta
10/29/2023,TRX000072,Ifa Kurniawan,228988,Bandung
1/16/2023,TRX000073,Guest,934365,Bandung
4/9/2024,TRX000074,drg. Warsa Iswahyudi,1262157,Semarang
2/11/2023,TRX000075,Guest,1576855,Semarang
8/11/2023,TRX000076,Guest,554676,Bandung
10/17/2023,TRX000077,Tgk. Betania Prasasta,501964,Semarang
8/30/2024,TRX000078,Guest,344444,Yogyakarta
5/7/2023,TRX000079,"Simon Prastuti, S.E.",672939,Surabaya
2/24/2023,TRX000080,Guest,412362,Surabaya
5/15/2024,TRX000081,Guest,897925,Semarang
11/10/2023,TRX000082,Guest,1106631,Semarang
1/6/2023,TRX000083,"R. Darimin Melani, S.IP",1145561,Jakarta
3/16/2024,TRX000084,Jasmin Kurniawan,1040543,Yogyakarta
12/27/2023,TRX000085,Guest,549386,Jakarta
11/7/2024,TRX000086,Dwi Sihombing,1217970,Semarang
1/1/2023,TRX000087,Guest,1004374,Bandung
2/21/2023,TRX000088,Guest,465508,Yogyakarta
9/15/2023,TRX000089,Guest,1102021,Jakarta
5/22/2023,TRX000090,Paulin Laksmiwati,774751,Yogyakarta
12/25/2023,TRX000091,Cut Pia Suartini,382452,Yogyakarta
10/18/2023,TRX000092,Kamaria Tamba,44133,Jakarta
5/29/2024,TRX000093,Guest,232762,Semarang
11/12/2024,TRX000094,Gilang Lestari,794887,Jakarta
7/28/2024,TRX000095,Guest,478126,Surabaya
6/8/2023,TRX000096,T. Reza Budiyanto,419685,Yogyakarta
3/30/2023,TRX000097,Guest,382938,Surabaya
12/31/2024,TRX000098,Guest,1076662,Yogyakarta
10/5/2023,TRX000099,Guest,871641,Bandung
5/27/2023,TRX000100,Guest,982250,Bandung
7/21/2023,TRX000101,"drg. Cengkal Permadi, S.E.I",1154631,Yogyakarta
3/18/2024,TRX000102,Guest,776618,Bandung
8/22/2024,TRX000103,Padmi Pertiwi,859013,Jakarta
3/24/2023,TRX000104,Guest,177954,Bandung
10/25/2023,TRX000105,Guest,128636,Jakarta
8/13/2023,TRX000106,Guest,435249,Semarang
2/2/2023,TRX000107,Zalindra Mahendra,936558,Semarang
4/29/2024,TRX000108,Tari Wasita,1303423,Jakarta
12/30/2023,TRX000109,Guest,1321997,Jakarta
9/12/2023,TRX000110,Cinthia Kuswoyo,1151221,Yogyakarta
11/25/2024,TRX000111,Guest,748134,Jakarta
10/14/2024,TRX000112,Bakiadi Mahendra,781744,Bandung
1/31/2024,TRX000113,Bakda Nasyiah,115905,Surabaya
3/8/2024,TRX000114,Guest,228494,Jakarta
2/13/2024,TRX000115,Guest,345413,Jakarta
4/11/2023,TRX000116,Guest,911980,Jakarta
9/25/2023,TRX000117,Cindy Andriani,1013726,Yogyakarta
11/6/2023,TRX000118,Guest,1318253,Yogyakarta
9/3/2024,TRX000119,Viman Habibi,647354,Bandung
11/15/2023,TRX000120,Guest,318477,Bandung
6/27/2023,TRX000121,"H. Candrakanta Hariyah, S.T.",326618,Surabaya
7/31/2024,TRX000122,Panji Kuswoyo,1392442,Semarang
3/22/2024,TRX000123,Ir. Nadia Winarno,555489,Bandung
11/26/2024,TRX000124,Paiman Suryatmi,18328,Semarang
11/27/2023,TRX000125,Guest,192152,Yogyakarta
8/15/2024,TRX000126,Guest,1133378,Bandung
5/23/2023,TRX000127,Gawati Laksita,733382,Yogyakarta
11/30/2024,TRX000128,Agnes Agustina,238767,Bandung
7/24/2023,TRX000129,Guest,978861,Yogyakarta
9/14/2023,TRX000130,Nurul Suwarno,267163,Bandung
5/19/2023,TRX000131,Guest,936036,Semarang
3/2/2024,TRX000132,Guest,1447723,Yogyakarta
7/21/2024,TRX000133,Gabriella Marbun,807394,Yogyakarta
7/24/2023,TRX000134,"dr. Rachel Pradana, S.I.Kom",356911,Surabaya
11/5/2023,TRX000135,Guest,962562,Jakarta
11/9/2023,TRX000136,Guest,1047098,Jakarta
3/29/2023,TRX000137,Kawaya Puspita,261943,Yogyakarta
11/1/2023,TRX000138,Kani Kusumo,219806,Jakarta
8/3/2024,TRX000139,Guest,283357,Yogyakarta
10/5/2024,TRX000140,Salsabila Permadi,12311,Surabaya
4/17/2024,TRX000141,Guest,187020,Yogyakarta
7/12/2024,TRX000142,Guest,753056,Jakarta
7/7/2023,TRX000143,"R.A. Lalita Purwanti, S.E.I",569883,Semarang
1/20/2024,TRX000144,Guest,811061,Semarang
3/23/2024,TRX000145,Guest,115593,Yogyakarta
4/9/2023,TRX000146,"Cut Calista Maryati, M.M.",369342,Jakarta
5/22/2023,TRX000147,Guest,592698,Yogyakarta
6/23/2024,TRX000148,Guest,918495,Jakarta
3/28/2024,TRX000149,Guest,732103,Yogyakarta
12/11/2024,TRX000150,Jagaraga Mulyani,811568,Surabaya
11/17/2023,TRX000151,Guest,1226523,Jakarta
5/30/2024,TRX000152,Guest,496371,Semarang
12/2/2024,TRX000153,Guest,556931,Semarang
12/30/2024,TRX000154,Hairyanto Hidayat,673417,Surabaya
1/2/2024,TRX000155,Guest,73626,Surabaya
4/24/2024,TRX000156,Nasim Haryanto,181231,Jakarta
12/29/2023,TRX000157,Dr. Erik Prasetyo,472317,Bandung
3/13/2024,TRX000158,Fathonah Suryatmi,391962,Yogyakarta
4/22/2024,TRX000159,Rika Ardianto,317216,Semarang
3/6/2024,TRX000160,R.A. Raisa Nashiruddin,1120875,Surabaya
2/25/2024,TRX000161,drg. Gangsar Usamah,829394,Jakarta
4/17/2024,TRX000162,"Harjasa Sirait, M.TI.",537638,Surabaya
1/29/2023,TRX000163,T. Cemplunk Pratama,490923,Bandung
7/26/2024,TRX000164,"Drs. Nadine Mahendra, S.Pt",1409841,Yogyakarta
1/28/2023,TRX000165,"Puti Amelia Iswahyudi, S.E.I",420313,Surabaya
3/7/2024,TRX000166,Sutan Kusuma Firmansyah,565817,Semarang
4/1/2023,TRX000167,Tgk. Rudi Haryanto,564448,Yogyakarta
5/24/2023,TRX000168,Ana Handayani,84340,Yogyakarta
9/21/2024,TRX000169,Guest,337143,Yogyakarta
11/6/2023,TRX000170,Nadia Suartini,1021316,Surabaya
9/6/2023,TRX000171,Candrakanta Andriani,763529,Jakarta
8/17/2024,TRX000172,Guest,564885,Bandung
6/8/2024,TRX000173,"dr. Lili Handayani, M.Ak",1062864,Yogyakarta
1/18/2024,TRX000174,Guest,1208125,Surabaya
5/11/2023,TRX000175,Guest,1000347,Yogyakarta
9/27/2024,TRX000176,Kayun Kusmawati,1050374,Surabaya
7/10/2024,TRX000177,Guest,661342,Semarang
8/2/2024,TRX000178,"Ghaliyati Hakim, M.Kom.",916240,Yogyakarta
10/28/2023,TRX000179,Guest,1133446,Semarang
2/24/2023,TRX000180,Guest,229314,Semarang
2/7/2024,TRX000181,Galuh Irawan,794875,Bandung
5/9/2023,TRX000182,Guest,625519,Semarang
2/17/2024,TRX000183,Prabu Yuniar,462706,Yogyakarta
11/17/2024,TRX000184,Galar Riyanti,1049318,Yogyakarta
1/7/2023,TRX000185,Betania Utami,371808,Jakarta
4/18/2024,TRX000186,Guest,873427,Bandung
6/14/2024,TRX000187,Guest,423728,Semarang
4/16/2024,TRX000188,"Kanda Wulandari, S.Gz",146497,Bandung
2/25/2023,TRX000189,Yance Farida,614209,Bandung
3/28/2023,TRX000190,Guest,925170,Yogyakarta
2/26/2023,TRX000191,Guest,420382,Surabaya
10/4/2023,TRX000192,Guest,329232,Yogyakarta
10/27/2024,TRX000193,Guest,756777,Surabaya
4/20/2023,TRX000194,Puti Cinta Wulandari,532256,Jakarta
12/8/2023,TRX000195,Tgk. Uda Hasanah,1186275,Semarang
8/31/2024,TRX000196,Guest,780371,Bandung
4/10/2023,TRX000197,Guest,1153989,Jakarta
10/25/2023,TRX000198,Guest,1440250,Jakarta
8/2/2024,TRX000199,"H. Danuja Yuniar, S.E.I",837142,Surabaya
5/8/2024,TRX000200,Laksana Megantara,532084,Semarang
12/8/2024,TRX000201,Wawan Yolanda,1306235,Semarang
12/6/2023,TRX000202,Guest,71896,Jakarta
3/4/2023,TRX000203,"Cut Betania Mandala, S.Ked",506159,Jakarta
5/5/2023,TRX000204,"Aurora Mansur, M.TI.",557649,Jakarta
8/21/2024,TRX000205,"Ibrani Prastuti, S.T.",619007,Semarang
11/21/2024,TRX000206,Guest,796118,Jakarta
6/7/2024,TRX000207,Guest,58522,Bandung
2/24/2023,TRX000208,Drs. Clara Haryanti,592294,Semarang
12/19/2024,TRX000209,Gandi Fujiati,448941,Bandung
7/29/2023,TRX000210,Guest,851603,Bandung
6/12/2024,TRX000211,Jarwa Nurdiyanti,836267,Bandung
5/28/2023,TRX000212,Guest,914258,Surabaya
7/29/2024,TRX000213,Guest,865066,Surabaya
5/22/2024,TRX000214,Guest,761491,Semarang
5/20/2023,TRX000215,Ratna Pangestu,996293,Semarang
8/17/2023,TRX000216,Guest,749985,Bandung
11/22/2024,TRX000217,Guest,831876,Yogyakarta
10/17/2024,TRX000218,"Drs. Bahuwarna Jailani, M.M.",883344,Semarang
6/8/2023,TRX000219,Guest,531160,Semarang
11/5/2023,TRX000220,Adhiarja Rajata,296602,Semarang
10/5/2024,TRX000221,Guest,395090,Semarang
11/15/2023,TRX000222,Guest,188678,Surabaya
1/7/2023,TRX000223,Sakti Kuswandari,1092595,Jakarta
5/11/2024,TRX000224,Guest,370761,Yogyakarta
9/30/2024,TRX000225,Guest,46688,Jakarta
12/5/2024,TRX000226,Guest,368752,Surabaya
7/25/2023,TRX000227,Guest,946750,Bandung
4/28/2023,TRX000228,Guest,628345,Jakarta
3/10/2023,TRX000229,"Garda Budiman, S.Ked",424177,Jakarta
1/1/2023,TRX000230,Juli Palastri,1262487,Surabaya
6/6/2023,TRX000231,Guest,497163,Jakarta
9/10/2024,TRX000232,Guest,686298,Surabaya
5/4/2023,TRX000233,Guest,564436,Jakarta
6/16/2024,TRX000234,Upik Wasita,538691,Semarang
4/10/2023,TRX000235,Guest,901187,Surabaya
9/11/2023,TRX000236,Guest,474513,Semarang
7/29/2023,TRX000237,Guest,532781,Yogyakarta
4/17/2023,TRX000238,Guest,656016,Yogyakarta
4/30/2024,TRX000239,dr. Bakti Prasetya,1155315,Semarang
1/26/2023,TRX000240,Guest,639514,Jakarta
6/1/2024,TRX000241,Vero Winarno,1778453,Bandung
3/30/2024,TRX000242,Guest,1104565,Jakarta
2/5/2024,TRX000243,Kania Hastuti,841148,Surabaya
2/26/2023,TRX000244,Vera Suartini,857542,Bandung
5/5/2023,TRX000245,Warji Hassanah,435722,Jakarta
11/4/2023,TRX000246,Guest,402198,Yogyakarta
2/19/2024,TRX000247,Guest,376599,Jakarta
5/10/2024,TRX000248,"Cawisadi Prastuti, S.Farm",1478324,Semarang
7/8/2023,TRX000249,Tasdik Haryanti,764954,Semarang
8/29/2023,TRX000250,"Utama Mayasari, M.TI.",840807,Jakarta
7/13/2024,TRX000251,Tgk. Liman Pertiwi,1391426,Surabaya
9/24/2023,TRX000252,Guest,98704,Surabaya
9/19/2024,TRX000253,Guest,1323531,Jakarta
11/28/2024,TRX000254,"Kajen Oktaviani, S.E.",1162399,Surabaya
3/25/2024,TRX000255,dr. Cakrawangsa Oktaviani,444548,Surabaya
11/4/2024,TRX000256,Guest,53224,Bandung
9/23/2024,TRX000257,Guest,753697,Semarang
5/7/2023,TRX000258,Dimaz Hassanah,301697,Semarang
3/18/2024,TRX000259,Tgk. Vega Wulandari,337594,Semarang
5/30/2023,TRX000260,Ghaliyati Hidayanto,190436,Bandung
10/13/2024,TRX000261,"Dr. Mahesa Farida, S.Kom",601623,Semarang
1/23/2023,TRX000262,"R.M. Yono Manullang, S.IP",1077582,Yogyakarta
7/9/2023,TRX000263,Guest,474513,Bandung
5/26/2023,TRX000264,Usyi Putra,373048,Surabaya
11/4/2024,TRX000265,Guest,954222,Semarang
9/4/2023,TRX000266,Guest,177492,Surabaya
6/24/2023,TRX000267,Guest,325973,Yogyakarta
6/7/2024,TRX000268,Guest,949524,Yogyakarta
12/17/2024,TRX000269,Guest,541996,Surabaya
7/13/2024,TRX000270,Guest,985906,Semarang
7/25/2023,TRX000271,Guest,826832,Yogyakarta
5/2/2024,TRX000272,Guest,861586,Bandung
5/6/2024,TRX000273,Guest,1409085,Surabaya
10/24/2023,TRX000274,Guest,312075,Surabaya
10/24/2023,TRX000275,Balidin Kuswoyo,179464,Jakarta
11/14/2024,TRX000276,Darmanto Yolanda,452385,Yogyakarta
4/13/2023,TRX000277,Guest,306844,Yogyakarta
8/25/2024,TRX000278,Guest,423768,Surabaya
5/19/2024,TRX000279,Guest,177381,Yogyakarta
1/12/2024,TRX000280,Guest,1370253,Bandung
11/14/2024,TRX000281,Guest,657487,Yogyakarta
10/9/2023,TRX000282,Gatot Oktaviani,793407,Bandung
2/5/2024,TRX000283,Guest,631724,Yogyakarta
1/31/2024,TRX000284,"R.A. Wulan Thamrin, S.IP",1161858,Yogyakarta
12/15/2024,TRX000285,Guest,68793,Yogyakarta
4/20/2023,TRX000286,Lidya Oktaviani,50790,Semarang
4/20/2024,TRX000287,"R.M. Kenes Adriansyah, S.E.",1147815,Surabaya
3/2/2024,TRX000288,"Umaya Ramadan, M.Kom.",543589,Surabaya
3/11/2024,TRX000289,Guest,300550,Bandung
6/1/2023,TRX000290,Guest,962923,Semarang
1/29/2023,TRX000291,"Dr. Amalia Zulaika, M.M.",1098147,Surabaya
10/18/2023,TRX000292,Tania Adriansyah,449991,Surabaya
4/13/2024,TRX000293,Jindra Lazuardi,525468,Bandung
5/4/2023,TRX000294,Darmaji Ardianto,454920,Yogyakarta
7/31/2024,TRX000295,Salsabila Uyainah,335738,Yogyakarta
2/3/2024,TRX000296,R. Elvina Maryati,761966,Bandung
1/12/2023,TRX000297,Tania Fujiati,473028,Semarang
8/17/2024,TRX000298,Guest,518042,Surabaya
11/7/2023,TRX000299,Guest,7705,Surabaya
2/4/2023,TRX000300,Guest,763195,Yogyakarta
10/22/2024,TRX000301,Guest,1320721,Yogyakarta
10/28/2024,TRX000302,Mustofa Waluyo,1153081,Semarang
11/3/2024,TRX000303,Guest,394937,Jakarta
9/26/2024,TRX000304,Genta Pradipta,865993,Surabaya
3/31/2024,TRX000305,dr. Tiara Yolanda,94475,Jakarta
2/13/2023,TRX000306,Guest,955132,Bandung
12/30/2023,TRX000307,"drg. Vivi Kusmawati, S.T.",302479,Jakarta
5/23/2023,TRX000308,Guest,561514,Jakarta
4/24/2024,TRX000309,"Amelia Namaga, S.Gz",1234714,Jakarta
4/14/2024,TRX000310,Guest,163023,Yogyakarta
10/11/2023,TRX000311,Gamblang Lazuardi,493767,Semarang
1/10/2023,TRX000312,Guest,473356,Yogyakarta
6/12/2023,TRX000313,Guest,1624472,Yogyakarta
1/2/2024,TRX000314,T. Ega Padmasari,1572266,Yogyakarta
5/27/2024,TRX000315,Latif Pangestu,131467,Surabaya
5/30/2024,TRX000316,Kania Oktaviani,585550,Yogyakarta
8/4/2023,TRX000317,Guest,910328,Semarang
12/24/2023,TRX000318,"T. Jamil Thamrin, S.Ked",603343,Yogyakarta
12/24/2024,TRX000319,Guest,54448,Bandung
6/21/2024,TRX000320,Guest,222100,Yogyakarta
2/4/2024,TRX000321,"Kamaria Utami, M.Farm",438910,Surabaya
6/9/2024,TRX000322,Guest,196689,Semarang
3/6/2023,TRX000323,Guest,1044186,Semarang
6/28/2023,TRX000324,Edi Hakim,555437,Surabaya
11/2/2024,TRX000325,Viman Kuswandari,313852,Surabaya
6/5/2023,TRX000326,"Kamaria Pertiwi, S.Gz",236253,Semarang
12/27/2023,TRX000327,Guest,362412,Jakarta
11/2/2024,TRX000328,Guest,907041,Jakarta
7/30/2024,TRX000329,Cindy Hidayanto,344724,Yogyakarta
12/14/2023,TRX000330,Dr. Fathonah Sihombing,1207310,Surabaya
4/15/2024,TRX000331,Guest,561183,Surabaya
5/24/2023,TRX000332,Salimah Wijayanti,323664,Yogyakarta
10/13/2023,TRX000333,Dalima Sinaga,1537512,Yogyakarta
11/5/2024,TRX000334,Guest,556303,Yogyakarta
11/7/2023,TRX000335,Guest,47157,Bandung
2/8/2024,TRX000336,Guest,174101,Bandung
3/11/2023,TRX000337,"Rendy Haryanti, S.I.Kom",1264126,Bandung
10/22/2024,TRX000338,Jelita Haryanti,146966,Yogyakarta
5/10/2024,TRX000339,Kenari Usamah,152024,Jakarta
1/21/2024,TRX000340,"Sutan Balidin Maryadi, M.M.",424326,Surabaya
4/28/2024,TRX000341,Wakiman Maryadi,586481,Jakarta
9/12/2024,TRX000342,Guest,712486,Jakarta
11/5/2024,TRX000343,Guest,94278,Surabaya
7/4/2023,TRX000344,Pranata Saputra,54024,Yogyakarta
8/12/2024,TRX000345,Guest,158958,Yogyakarta
12/26/2024,TRX000346,R. Gatot Megantara,327752,Bandung
6/3/2024,TRX000347,Guest,838125,Semarang
11/5/2024,TRX000348,Guest,932253,Yogyakarta
6/22/2024,TRX000349,Hasna Yuniar,408531,Jakarta
9/23/2023,TRX000350,Guest,27322,Jakarta
5/13/2023,TRX000351,Guest,384055,Yogyakarta
12/15/2024,TRX000352,Guest,1055248,Semarang
11/28/2023,TRX000353,"Sakti Zulkarnain, M.Pd",1052265,Jakarta
8/25/2024,TRX000354,Guest,630693,Yogyakarta
8/17/2024,TRX000355,"Winda Mayasari, M.Pd",867761,Bandung
12/23/2023,TRX000356,Guest,609332,Semarang
8/21/2024,TRX000357,Guest,778625,Bandung
9/24/2024,TRX000358,Maria Haryanti,1109058,Yogyakarta
2/18/2024,TRX000359,Guest,1349514,Semarang
3/11/2023,TRX000360,Halima Purnawati,1687608,Jakarta
2/16/2023,TRX000361,R.M. Langgeng Wacana,921718,Jakarta
1/31/2023,TRX000362,Guest,204340,Semarang
6/12/2023,TRX000363,Tina Jailani,576168,Jakarta
8/26/2023,TRX000364,Farah Najmudin,1709984,Surabaya
4/9/2023,TRX000365,Guest,211166,Bandung
11/12/2024,TRX000366,Purwadi Dabukke,481337,Bandung
4/19/2023,TRX000367,"Teguh Nuraini, S.T.",423174,Semarang
5/26/2024,TRX000368,Guest,431370,Semarang
11/26/2024,TRX000369,Guest,402816,Yogyakarta
5/2/2024,TRX000370,Guest,310266,Surabaya
11/28/2023,TRX000371,dr. Virman Napitupulu,986759,Jakarta
8/26/2023,TRX000372,Guest,67103,Semarang
8/31/2023,TRX000373,Dina Najmudin,833103,Surabaya
4/18/2023,TRX000374,Guest,497275,Semarang
6/28/2023,TRX000375,Guest,962202,Surabaya
1/29/2024,TRX000376,Cut Shania Sudiati,98800,Jakarta
3/6/2024,TRX000377,Gasti Manullang,521350,Semarang
3/7/2023,TRX000378,Guest,676015,Surabaya
3/5/2023,TRX000379,Gawati Rajasa,416049,Bandung
9/18/2024,TRX000380,Guest,647371,Jakarta
9/14/2023,TRX000381,Guest,1215628,Jakarta
4/28/2023,TRX000382,Guest,688886,Semarang
2/8/2023,TRX000383,Guest,934701,Surabaya
3/16/2023,TRX000384,Limar Siregar,451558,Surabaya
3/28/2024,TRX000385,Wahyu Utama,189629,Yogyakarta
1/19/2024,TRX000386,"drg. Prayoga Pangestu, M.Farm",691142,Surabaya
9/13/2024,TRX000387,Jane Kurniawan,606550,Jakarta
10/8/2024,TRX000388,Guest,820020,Semarang
1/31/2023,TRX000389,Guest,259728,Yogyakarta
6/28/2023,TRX000390,Zaenab Susanti,462705,Jakarta
11/25/2023,TRX000391,Nilam Hartati,722488,Yogyakarta
4/21/2023,TRX000392,"Victoria Wasita, S.E.I",264542,Surabaya
12/16/2024,TRX000393,Guest,241461,Semarang
4/5/2024,TRX000394,Guest,872466,Jakarta
1/22/2024,TRX000395,"Ghaliyati Manullang, S.H.",1121609,Surabaya
5/17/2023,TRX000396,Gilda Budiyanto,968494,Yogyakarta
10/14/2024,TRX000397,Guest,1046658,Surabaya
8/10/2024,TRX000398,Guest,253017,Semarang
7/23/2024,TRX000399,Daniswara Dongoran,648150,Bandung
7/24/2023,TRX000400,Guest,475654,Jakarta
7/20/2023,TRX000401,"Belinda Nuraini, S.Ked",330114,Surabaya
9/16/2023,TRX000402,Guest,365816,Bandung
5/17/2024,TRX000403,Damar Pudjiastuti,83511,Semarang
3/24/2024,TRX000404,Guest,1378945,Jakarta
11/26/2024,TRX000405,Kamidin Irawan,392373,Bandung
10/20/2023,TRX000406,Guest,261372,Semarang
8/19/2023,TRX000407,"Jasmin Suryatmi, S.Ked",81372,Jakarta
7/26/2023,TRX000408,Guest,408105,Bandung
6/15/2023,TRX000409,Guest,274390,Yogyakarta
3/20/2024,TRX000410,Guest,175497,Yogyakarta
6/25/2024,TRX000411,Liman Hutagalung,770034,Bandung
7/16/2023,TRX000412,Carla Firgantoro,1046205,Semarang
3/30/2023,TRX000413,Lulut Permadi,1107581,Yogyakarta
8/19/2024,TRX000414,Guest,1156332,Yogyakarta
1/25/2023,TRX000415,"Cut Genta Pranowo, S.Psi",554128,Jakarta
10/6/2024,TRX000416,Guest,313747,Surabaya
11/15/2024,TRX000417,Guest,1638280,Bandung
4/9/2023,TRX000418,Guest,117946,Jakarta
7/28/2023,TRX000419,Rini Thamrin,193914,Semarang
2/4/2023,TRX000420,Elon Santoso,232834,Bandung
5/24/2023,TRX000421,Kala Samosir,233408,Semarang
1/6/2023,TRX000422,Legawa Mustofa,1225031,Jakarta
1/4/2024,TRX000423,"Jayadi Haryanto, S.Pd",667905,Jakarta
2/22/2024,TRX000424,Guest,708385,Yogyakarta
8/4/2024,TRX000425,Bakda Anggriawan,531796,Surabaya
7/13/2024,TRX000426,Guest,184453,Surabaya
3/15/2023,TRX000427,Guest,104850,Bandung
12/15/2023,TRX000428,Guest,600642,Yogyakarta
7/9/2023,TRX000429,Guest,738906,Surabaya
11/29/2024,TRX000430,Tirtayasa Sihombing,655571,Surabaya
10/19/2024,TRX000431,Eluh Prasetya,364848,Semarang
6/24/2024,TRX000432,Guest,505634,Jakarta
5/23/2024,TRX000433,Gangsa Lazuardi,714435,Surabaya
7/14/2023,TRX000434,Guest,435024,Yogyakarta
8/1/2023,TRX000435,Chelsea Simbolon,815845,Surabaya
8/7/2024,TRX000436,Guest,82147,Jakarta
4/30/2024,TRX000437,Jelita Salahudin,1010701,Jakarta
5/27/2024,TRX000438,Cut Padma Prayoga,23302,Semarang
12/27/2023,TRX000439,Guest,86096,Yogyakarta
1/1/2024,TRX000440,"Icha Mayasari, M.Pd",1370862,Semarang
9/25/2024,TRX000441,Guest,418338,Surabaya
7/26/2024,TRX000442,Cakrabirawa Situmorang,705061,Bandung
5/22/2023,TRX000443,Guest,983181,Yogyakarta
3/10/2023,TRX000444,"Drs. Belinda Purwanti, M.Pd",1151195,Jakarta
3/25/2024,TRX000445,Dina Mandasari,249968,Semarang
3/13/2024,TRX000446,Nadine Mayasari,1198452,Jakarta
10/2/2024,TRX000447,Guest,538007,Bandung
1/21/2024,TRX000448,Dt. Cemplunk Novitasari,462792,Jakarta
3/14/2023,TRX000449,Guest,278774,Surabaya
8/5/2024,TRX000450,Guest,185054,Yogyakarta
3/22/2023,TRX000451,Hj. Hilda Palastri,974535,Semarang
5/11/2023,TRX000452,Guest,410754,Yogyakarta
6/13/2024,TRX000453,Laras Simanjuntak,33788,Bandung
11/2/2023,TRX000454,Guest,373950,Semarang
